,model,split,rmse,r2
0,dummy,validation,15.9833,-0.0
1,linear-gender,validation,15.9637,0.0024
2,linear-birth_year,validation,15.8422,0.0176
3,linear-full,validation,15.3703,0.0752
4,linear_lasso_alpha_1.0,validation,15.8422,0.0176
5,linear_ridge_alpha_1.0,validation,15.3702,0.0752
6,knn-allpreds-10,validation,14.5385,0.1726
7,randomforest_default_allpreds,validation,14.1748,0.2135
8,randomforest_default_58preds,validation,14.205,0.2101
9,randomforest_constrained,validation,13.8965,0.2441
10,randomforest_constrained+,validation,14.3624,0.1925
11,randomforest_constrained+,test,14.2993,0.1932
